fecha,mes,anio,linea,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2025-01-18,Enero,2025,Línea 2,Prepago,149168,2025-01,2025
2025-01-18,Enero,2025,Línea 2,Gratuidad,11206,2025-01,2025
2025-01-19,Enero,2025,Línea 2,Prepago,87682,2025-01,2025
2025-01-19,Enero,2025,Línea 2,Gratuidad,8026,2025-01,2025
2025-01-20,Enero,2025,Línea 2,Prepago,210232,2025-01,2025
2025-01-20,Enero,2025,Línea 2,Gratuidad,19300,2025-01,2025
2025-01-21,Enero,2025,Línea 2,Prepago,199971,2025-01,2025
2025-01-21,Enero,2025,Línea 2,Gratuidad,17364,2025-01,2025
2025-01-22,Enero,2025,Línea 2,Prepago,208769,2025-01,2025
2025-01-22,Enero,2025,Línea 2,Gratuidad,17650,2025-01,2025
2025-01-23,Enero,2025,Línea 2,Prepago,209362,2025-01,2025
2025-01-23,Enero,2025,Línea 2,Gratuidad,16701,2025-01,2025
2025-01-24,Enero,2025,Línea 2,Prepago,204967,2025-01,2025
2025-01-24,Enero,2025,Línea 2,Gratuidad,14469,2025-01,2025
2025-01-25,Enero,2025,Línea 2,Prepago,140927,2025-01,2025
2025-01-25,Enero,2025,Línea 2,Gratuidad,11512,2025-01,2025
2025-01-26,Enero,2025,Línea 2,Prepago,95078,2025-01,2025
2025-01-26,Enero,2025,Línea 2,Gratuidad,7818,2025-01,2025
2025-01-27,Enero,2025,Línea 2,Prepago,200264,2025-01,2025
2025-01-27,Enero,2025,Línea 2,Gratuidad,15595,2025-01,2025
2025-01-28,Enero,2025,Línea 2,Prepago,196682,2025-01,2025
2025-01-28,Enero,2025,Línea 2,Gratuidad,16830,2025-01,2025
2025-01-29,Enero,2025,Línea 2,Prepago,213180,2025-01,2025
2025-01-29,Enero,2025,Línea 2,Gratuidad,17745,2025-01,2025
2025-01-30,Enero,2025,Línea 2,Prepago,197219,2025-01,2025
2025-01-30,Enero,2025,Línea 2,Gratuidad,16604,2025-01,2025
2025-01-31,Enero,2025,Línea 2,Prepago,196557,2025-01,2025
2025-01-31,Enero,2025,Línea 2,Gratuidad,17474,2025-01,2025
